,pct_missing
post_dch_sensitivo_amplitud_n_calcaneo_medial,100.0
post_dch_sensitivo_velocidad_n_calcaneo_medial,100.0
post_izq_sensitivo_amplitud_n_calcaneo_medial,97.96
post_dch_sensitivo_velocidad_n_baxter,97.96
post_dch_sensitivo_amplitud_n_baxter,97.96
post_izq_sensitivo_velocidad_n_baxter,97.96
post_izq_sensitivo_amplitud_n_baxter,97.96
post_izq_sensitivo_velocidad_n_calcaneo_medial,97.96
pre_dch_sensitivo_velocidad_n_calcaneo_medial,95.92
post_dch_sensitivo_velocidad_n_plantar_medial,95.92
pre_dch_sensitivo_amplitud_n_calcaneo_medial,95.92
pre_izq_sensitivo_velocidad_n_calcaneo_medial,95.92
pre_izq_sensitivo_amplitud_n_calcaneo_medial,95.92
post_dch_sensitivo_amplitud_n_plantar_medial,95.92
pre_dch_sensitivo_amplitud_n_baxter,91.84
pre_dch_sensitivo_velocidad_n_baxter,91.84
post_izq_sensitivo_amplitud_n_plantar_lateral,91.84
post_izq_sensitivo_velocidad_n_plantar_lateral,91.84
post_dch_sensitivo_amplitud_n_plantar_lateral,91.84
post_dch_sensitivo_velocidad_n_plantar_lateral,91.84
pre_izq_sensitivo_amplitud_n_baxter,89.8
post_izq_sensitivo_velocidad_n_plantar_medial,89.8
post_izq_sensitivo_amplitud_n_plantar_medial,89.8
pre_izq_sensitivo_velocidad_n_baxter,89.8
post_izq_motor_velocidad_total,77.55
post_izq_motor_amplitud_total,77.55
pre_izq_sensitivo_velocidad_n_plantar_lateral,75.51
pre_izq_sensitivo_amplitud_n_plantar_lateral,75.51
post_dch_motor_velocidad_total,75.51
post_dch_motor_amplitud_total,75.51
pre_dch_sensitivo_amplitud_n_plantar_lateral,69.39
pre_dch_sensitivo_velocidad_n_plantar_lateral,69.39
pre_izq_sensitivo_velocidad_n_plantar_medial,67.35
pre_dch_sensitivo_velocidad_n_plantar_medial,67.35
pre_dch_sensitivo_amplitud_n_plantar_medial,67.35
pre_izq_sensitivo_amplitud_n_plantar_medial,67.35
post_izq_motor_velocidad_segmentario,63.27
post_izq_motor_amplitud_segmentario,63.27
post_dch_motor_amplitud_segmentario,57.14
post_dch_motor_velocidad_segmentario,55.1
post_fecha,44.9
pre_izq_motor_amplitud_total,34.69
pre_izq_motor_velocidad_total,34.69
pre_izq_motor_amplitud_segmentario,28.57
pre_izq_motor_velocidad_segmentario,28.57
pre_dch_motor_velocidad_total,22.45
pre_dch_motor_amplitud_total,22.45
pre_dch_motor_velocidad_segmentario,14.29
pre_dch_motor_amplitud_segmentario,14.29
tts_pie_derecho,0.0
pre_fecha,0.0
arcada_del_soleo,0.0
polineuropatia,0.0
radiculopatia_s1_izq,0.0
radiculopatia_s1_dch,0.0
tts_pie_izquierdo,0.0
id,0.0
